week,day,cash_start,cash_end,delta,score,turns_reported,turns
0,7,1000000,814290,-185710,-0.185710,5,17
1,14,814290,808949,-5341,-0.005341,14,14
2,21,808949,802967,-5982,-0.005982,16,16
3,28,802967,799495,-3472,-0.003472,17,17
4,35,799495,798311,-1184,-0.001184,22,23
5,42,798311,796960,-1351,-0.001351,10,10
6,49,796960,795775,-1185,-0.001185,6,6
7,56,795775,794045,-1730,-0.001730,17,18
8,63,794045,792485,-1560,-0.001560,14,14
9,70,792485,791183,-1302,-0.001302,7,7
10,77,791183,289922,-501261,-0.501261,14,14
11,84,289922,289237,-685,-0.000685,13,18
12,91,289237,288626,-611,-0.000611,9,9
13,98,288626,288299,-327,-0.000327,6,6
14,105,288299,287260,-1039,-0.001039,18,18
15,112,287260,285197,-2063,-0.002063,14,14
16,119,285197,282903,-2294,-0.002294,12,12
17,126,282903,281402,-1501,-0.001501,18,18
18,133,281402,279970,-1432,-0.001432,11,11
19,140,279970,278352,-1618,-0.001618,9,9
20,147,278352,273122,-5230,-0.005230,10,10
21,154,273122,271516,-1606,-0.001606,12,12
22,161,271516,271062,-454,-0.000454,15,22
23,168,271062,270840,-222,-0.000222,3,3
24,175,270840,270353,-487,-0.000487,7,14
25,182,270353,269835,-518,-0.000518,8,8
26,189,269835,269184,-651,-0.000651,8,8
27,196,269184,268575,-609,-0.000609,7,7
28,203,268575,267955,-620,-0.000620,5,5
29,210,267955,267377,-578,-0.000578,3,3
30,217,267377,266817,-560,-0.000560,2,2
31,224,266817,266236,-581,-0.000581,5,5
32,231,266236,265638,-598,-0.000598,6,6
33,238,265638,265055,-583,-0.000583,11,11
34,245,265055,264522,-533,-0.000533,4,4
35,252,264522,263936,-586,-0.000586,4,4
36,259,263936,263332,-604,-0.000604,6,6
37,266,263332,262728,-604,-0.000604,5,5
38,273,262728,262150,-578,-0.000578,5,5
39,280,262150,261563,-587,-0.000587,5,5
40,287,261563,260967,-596,-0.000596,5,5
41,294,260967,260371,-596,-0.000596,3,3
42,301,260371,259774,-597,-0.000597,5,5
43,308,259774,259179,-595,-0.000595,1,1
44,315,259179,258584,-595,-0.000595,2,2
45,322,258584,257989,-595,-0.000595,2,2
46,329,257989,257394,-595,-0.000595,2,2
47,336,257394,256799,-595,-0.000595,1,1
48,343,256799,256204,-595,-0.000595,2,2
49,350,256204,255609,-595,-0.000595,3,3
50,357,255609,255014,-595,-0.000595,3,3
51,364,255014,254419,-595,-0.000595,2,2
52,371,254419,253824,-595,-0.000595,3,3
53,378,253824,253229,-595,-0.000595,2,2
54,385,253229,252634,-595,-0.000595,2,2
