week,day,cash_start,cash_end,subscribers,seats,run_rate,value_start,value_end,score,turns
0,0,1000000,829548,0,0,0,1000000,829548,-0.170452,19
1,7,829548,488820,0,0,0,829548,489985,-0.339563,17
2,14,488820,481751,16,0,192,489985,486920,-0.003065,11
3,21,481751,477417,71,0,852,486920,488119,0.001199,15
4,28,477417,472300,98,0,1764,488119,487260,-0.000858,14
5,35,472300,467191,137,0,2466,487260,495462,0.008201,12
6,42,467191,462365,233,0,4660,495462,508593,0.013131,13
7,49,462365,455834,381,0,7620,508593,523781,0.015188,12
8,56,455834,449947,560,0,11200,523781,544344,0.020564,9
9,63,449947,444415,778,0,15560,544344,563079,0.018735,13
10,70,444415,437641,978,0,19560,563079,557518,-0.005561,7
11,77,437641,432747,988,0,19760,557518,521927,-0.035591,21
12,84,432747,429841,980,0,14700,521927,518111,-0.003816,18
13,91,429841,426449,970,0,14550,518111,513445,-0.004666,8
14,98,426449,423292,956,0,14340,513445,509924,-0.003521,5
15,105,423292,419880,952,0,14280,509924,505875,-0.004049,16
16,112,419880,416544,945,0,14175,505875,501902,-0.003973,11
17,119,416544,415701,938,0,14070,501902,500240,-0.001662,18
18,126,415701,414262,929,0,13935,500240,497891,-0.002349,11
19,133,414262,412584,919,0,13785,497891,494939,-0.002952,6
20,140,412584,409958,905,0,13575,494939,491403,-0.003536,4
21,147,409958,409251,895,0,13425,491403,490059,-0.001344,4
22,154,409251,407523,888,0,13320,490059,487057,-0.003002,7
23,161,407523,404939,874,0,13110,487057,483927,-0.003130,13
24,168,404939,402540,868,0,13020,483927,480527,-0.003400,4
25,175,402540,401392,857,0,12855,480527,477741,-0.002786,4
26,182,401392,400807,839,0,12585,477741,476155,-0.001586,5
27,189,400807,398726,828,0,12420,476155,472891,-0.003264,2
28,196,398726,397049,815,0,12225,472891,469485,-0.003406,4
29,203,397049,395280,796,0,11940,469485,465987,-0.003498,5
30,210,395280,394256,777,0,11655,465987,462688,-0.003299,5
31,217,394256,392217,752,0,11280,462688,458738,-0.003950,4
32,224,392217,390098,731,0,10965,458738,453434,-0.005304,7
33,231,390098,388213,696,0,10440,453434,450093,-0.003341,5
34,238,388213,386152,680,0,10200,450093,441844,-0.008249,5
35,245,386152,385641,612,0,9180,441844,437329,-0.004515,7
36,252,385641,384733,568,0,8520,437329,433691,-0.003638,11
37,259,384733,384000,538,0,8070,433691,427407,-0.006284,6
38,266,384000,383251,477,0,7155,427407,420106,-0.007301,4
39,273,383251,382714,405,0,6075,420106,411925,-0.008181,4
40,280,382714,381656,321,0,4815,411925,406044,-0.005881,4
41,287,381656,380885,268,0,4020,406044,402361,-0.003683,5
42,294,380885,379688,236,0,3540,402361,396978,-0.005383,5
43,301,379688,378184,190,0,2850,396978,390014,-0.006964,3
44,308,378184,377456,130,0,1950,390014,386101,-0.003913,8
45,315,377456,376775,95,0,1425,386101,380100,-0.006001,7
46,322,376775,376153,38,0,570,380100,376153,-0.003947,4
47,329,376153,375558,0,0,0,376153,375558,-0.000595,2
48,336,375558,374963,0,0,0,375558,374963,-0.000595,2
49,343,374963,373943,0,0,0,374963,373943,-0.001020,4
51,356,373943,373348,0,0,0,373943,373348,-0.000595,2
52,363,373348,372753,0,0,0,373348,372753,-0.000595,2
53,370,372753,372158,0,0,0,372753,372158,-0.000595,2
54,377,372158,371563,0,0,0,372158,371563,-0.000595,2
55,384,371563,370968,0,0,0,371563,370968,-0.000595,2
56,391,370968,370373,0,0,0,370968,370373,-0.000595,2
57,398,370373,369778,0,0,0,370373,369778,-0.000595,2
58,405,369778,369183,0,0,0,369778,369183,-0.000595,2
59,412,369183,368588,0,0,0,369183,368588,-0.000595,2
60,419,368588,367993,0,0,0,368588,367993,-0.000595,2
61,426,367993,367398,0,0,0,367993,367398,-0.000595,3
62,433,367398,366803,0,0,0,367398,366803,-0.000595,2
63,440,366803,366208,0,0,0,366803,366208,-0.000595,2
64,447,366208,365613,0,0,0,366208,365613,-0.000595,3
65,454,365613,,0,0,0,365613,,,2
